日付け,終値,始値,高値,安値,出来高,前日比%
2000年8月,16861.26 ,15784.60 ,17210.80 ,15557.33 ,-,7.21%
2000年9月,15747.26 ,16915.04 ,17018.52 ,15621.88 ,-,-6.61%
2000年10月,14539.60 ,15735.71 ,16192.78 ,14333.16 ,-,-7.67%
2000年11月,14648.51 ,14557.45 ,15602.39 ,14172.64 ,-,0.75%
2000年12月,13785.69 ,14600.53 ,15273.40 ,13182.51 ,-,-5.89%
2001年1月,13843.55 ,13898.09 ,14186.62 ,13123.81 ,-,0.42%
2001年2月,12883.54 ,13740.92 ,13862.29 ,12784.17 ,-,-6.93%
2001年3月,12999.70 ,12811.52 ,13867.58 ,11433.88 ,-,0.90%
2001年4月,13934.32 ,13057.65 ,14099.49 ,12579.56 ,-,7.19%
2001年5月,13262.14 ,14096.32 ,14556.11 ,13216.57 ,-,-4.82%
2001年6月,12969.05 ,13365.08 ,13510.70 ,12511.66 ,-,-2.21%
2001年7月,11860.77 ,12929.66 ,12929.66 ,11531.68 ,-,-8.55%
2001年8月,10713.51 ,11920.64 ,12407.37 ,10684.16 ,-,-9.67%
2001年9月,9774.68 ,10729.60 ,10812.89 ,9382.95 ,-,-8.76%
2001年10月,10366.34 ,9766.75 ,11052.01 ,9604.09 ,-,6.05%
2001年11月,10697.44 ,10430.59 ,11186.75 ,9955.09 ,-,3.19%
2001年12月,10542.62 ,10694.65 ,11052.51 ,10170.90 ,-,-1.45%
2002年1月,9997.80 ,10631.00 ,10979.92 ,9843.12 ,-,-5.17%
2002年2月,10587.83 ,10026.96 ,10798.67 ,9420.85 ,-,5.90%
2002年3月,11024.94 ,10641.36 ,12034.04 ,10540.31 ,-,4.13%
2002年4月,11492.54 ,11106.07 ,11812.99 ,10896.12 ,-,4.24%
2002年5月,11763.70 ,11540.09 ,12081.43 ,11250.86 ,-,2.36%
2002年6月,10621.84 ,11804.04 ,11905.16 ,10060.72 ,-,-9.71%
2002年7月,9877.94 ,10655.00 ,11050.69 ,9547.85 ,-,-7.00%
2002年8月,9619.30 ,9912.59 ,10162.30 ,9439.41 ,-,-2.62%
2002年9月,9383.29 ,9564.90 ,9884.60 ,8969.26 ,-,-2.45%
2002年10月,8640.48 ,9289.53 ,9293.86 ,8197.22 ,-,-7.92%
2002年11月,9215.56 ,8651.67 ,9294.10 ,8246.53 ,-,6.66%
